,Unnamed: 0,PROLIFIC_PID,multipleEthic,openQuestion_Ethic,openQuestion_Ethic_translated,sentimentVadder,sentimentVadderPolarityScore
10,11,96e2a51cad3421005f6f51e9c37dcc859bd257b5ac88ff30d2fc2478755f9839,umweltfreundlich \ nachhaltig \ langlebig,"Aus moralischer Sicht ist es in Verantwortung für den Planeten und für künftige Generationen wichtig, dass neue Materialsysteme nachhaltig und umweltfreundlich sind. Das sind sie oft nur, wenn sie auch langlebig sind.","From a moral standpoint, it is our responsibility to ensure that new material systems are sustainable and environmentally friendly for the planet and future generations. Often they are only so if they are also durable.",Positive,0.7003
11,12,037c91c6e90791a38030e00dd46d278f66d627a3c2ee3d23732599ec3121c4da,ökologisch \ energieeffizient \ umweltfreundlich,"In den letzten Jahren wird der Klimawandeln und die Auswirkungen des Handelns der Menschen auf die Umwelt zentrales Thema vieler Diskussionen. Aber wie sollten unser Handeln optimalerweise sein? Die Antwort: ökologisch, energieeffizient und insbesondere umweltfreundlich. Das Fördern von umweltunfreundlichen Methoden oder Traditionen tritt sehr besonders oft in einen moralischen Konflikt.","In recent years, climate change and the impact of human actions on the environment have become central topics of many discussions. But what should our actions ideally be like? The answer: ecological, energy-efficient, and especially environmentally friendly. Promoting environmentally unfriendly methods or traditions often leads to a moral conflict.",Positive,0.8783
12,13,7573509e0eb49185e024e1bd1fe58b5d617d6d8beab789631d9b92e4df5d2359,bioinspiriert \ enthält Kunststoff \ Insekten ähnlich,Die drei Begriffe haben für mich die größte Beziehung zur Ethik,These three terms have the greatest connection to ethics for me ,Positive,0.6369
13,14,d58a9defe81dcd307fc24ef66748d95e95438ada58d3f92284b19cafc4c10768,energieeffizient \ umweltfreundlich \ nachhaltig,weil wir die Verpflichtung haben den Klimawandel zu bekämpfen,because we have the obligation to combat climate change.,Negative,-0.34
14,15,e043fed121563197ce6bba1db36f047bf408adc94be55b71d34c5c308611d20e,ökologisch \ umweltfreundlich \ nachhaltig,In der heutigen Zeit ist es so wichtig wie nie neue Technologien zu Entwickeln die Nachhaltig sind. Dies sollte aus moralischer sicht an erster Stelle stehen. ,"In today's world, it is more important than ever to develop new technologies that are sustainable. This should be of foremost moral concern.",Positive,0.2716
15,16,93773a5f52b11d5de9227c2fbba6b03357dcdc8dad15e52392d62419e8687662,ökologisch \ umweltfreundlich \ nachhaltig,"In einer progressiven Gesellschaft, die nicht durch irgendwelche Halluzinationen oder Wahnvorstellungen offensichtliche Erkenntnisse leugnet, sind dies wichtige Maxime, an denen wir unseren Fortschritt als Menschheit orientieren sollten.","In a progressive society, one that does not deny obvious insights through hallucinations or delusions, these are important maxims by which we should orient our progress as humanity.",Positive,0.6844
16,17,3a19371d7f48d925c63d2ea75921313996cef29b8e30ba7a3e47ea8a7d9801a8,ökologisch \ nachhaltig \ umweltschädlich,"Versuchung gewisser Optimierungen oder Verbesserungen könnte zu langfristig negativen Folgen führen, daher ist es ""ethisch relevant"", darauf zu achten, dass bei diesen Fortschritten auch immer an die Umwelt und Nachhaltigkeit gedacht wird.","The temptation for certain optimizations or improvements could lead to long-term negative consequences, therefore, it is ""ethically relevant"" to ensure that these advancements always consider the environment and sustainability.",Positive,0.4939
17,18,4df0175c569d82460667274f39b1f929fd0c23741a5fd05c618b6d5f96339de3,selbstreparierend \ nachhaltig \ langlebig,"Materialien die selbstreparierend sind reduzieren den bedarf an Ersatzteilen und die Notwendigkeit ressourcen für reparaturen aufzuwenden. Das heißt verringerung von Abfall und Ressourcenverschwendung.
Nachhaltige Materialien werden ressourcenschonen hergestellt und haben eine geringere Umweltbelastung in ihrer Lebensdauer.
Langlebige Materialien halten länger und reduzieren somit den bedarf am häufigen Ersatz oder Neuschaffung. Das fördert eine kultur der wertschätzung und Pflege vonGegenständen.","Materials that are self-repairing reduce the need for spare parts and the necessity to use resources for repairs. This means a reduction of waste and resource waste.

Sustainable materials are produced with resource conservation and have a lower environmental impact during their lifetime.

Durable materials last longer and thus reduce the need for frequent replacement or new creation. This promotes a culture of appreciation and care for objects.",Positive,0.5499
18,19,a5987cab806cfd7edbe82b14fe13be754c65308b166a1ff6f1140fe09ea5cc3b,umweltfreundlich \ nachhaltig \ umweltschädlich,Bei den Begriffen geht es um die Umwelt bzw. Umweltschutz. Das ist für mich moralisch relevant. Die anderen Eigenschaften sind für mich nicht moralisch relevant.,"In terms of the concepts, it's about the environment or environmental protection. This is morally relevant to me. The other characteristics are not morally relevant to me.",Neutral,0.0
19,20,ae61f143fcb4a5a1c8084915da8a6954b4e391c8373428627083e6a88f59c29f,ökologisch \ umweltfreundlich \ nachhaltig,"Diese Begriffe beschreiben was ein ideales Material haben soll, um die Umwelt zu schützen. ",These terms describe what an ideal material should have to protect the environment.,Positive,0.7184
20,21,afa2488deee4066b2358fb4141504c463ff23600ed31613bd34051977d7b6af9,energieeffizient \ umweltfreundlich \ nachhaltig,Alle 3 Begriffe beschäftigen sich damit dass unsere Umwelt nicht(oder möglichst wenig) belastet wird.,All 3 terms are concerned with ensuring our environment is not (or as little as possible) burdened.,Negative,-0.0865
21,22,8a61c658ff2a62de8cca2b1c8b148fac381f4c9a559aaf0a6cf3db5d738f9832,ökologisch \ umweltfreundlich \ umweltschädlich,Der Umweltschutz ist ein wichtiges Thema auch an folgende Generationen gedacht.,Environmental protection is an important issue also for future generations.,Positive,0.2023
22,23,a09dfbc03132355912b3fcc818aeb293c43579fbc66379f1cac657b25a616d48,autonom \ umweltfreundlich \ nachhaltig,"Man sollte danach streben umweltfreundliche nachhaltige Produkte zu erschaffen; Bei dem wort autonom bin ich mir nicht sicher wie ich das im Bezug auf Materialien verstehen soll. Wenn man dies als ""außer Kontrolle"" oder ""nicht beeinflussbar"" versteht sollte man dies vermeiden","One should strive to create environmentally friendly sustainable products; I am not sure how to understand the word autonomous in relation to materials. If this is understood as ""out of control"" or ""uninfluenced,"" it should be avoided",Positive,0.2354
23,24,9df3b4d2488f4e7f63029f20326ae70df53dcaaa06f44a4a434677dbf41b8aab,ökologisch \ umweltfreundlich \ selbstheilend,Diese begriffe beschreiben am Besten was gut für die Natur ist.,These terms best describe what is good for nature.,Positive,0.7964
24,25,deb9a9bf3fb4ad85cdb10dae738621a8724a9bd44a3d706393e7e03bb443a66f,intelligent \ wartungsfrei \ Energie generierend,Eine einfach zu verstehende Lösung die kaum Aufmerksamkeit benötigt ist natürlich am wichtigsten. Energie generieren wäre dabei noch optimal um andere umweltschädigende Alternativen zu minimieren.,An easy-to-understand solution that requires little attention is naturally most important. Generating energy would also be optimal to minimize other environmentally damaging alternatives.,Positive,0.6068
25,26,880046c97deb93858825a6fe40f1a6ca4a41141c08b9f0c04573fd8ded7ce4fd,energieeffizient \ umweltfreundlich \ zuverlässig,"Gerade in der heutigen Zeit finde ich energieeffizienz und umweltvreundlichkeit sehr wichtig, sowie die Zuverlässigkeit von Systemen.","In today's world, I find energy efficiency and environmental friendliness very important, as well as the reliability of systems.",Positive,0.8766
26,27,16fe29ddf614f7b02b3be2a11d04547558cc8b485aec3d1b25263dc560dece68,ökologisch \ umweltfreundlich \ zuverlässig,Das neue Produkt muss umweltfreundlich sein und natürlich den Zweck erfüllen.,The new product must be environmentally friendly and naturally fulfill its purpose.,Positive,0.7269
27,28,2eb03cdee5b69db573f5d78ea0c20fb1f07158307f758043d0cb03cfcbdd00a7,ökologisch \ umweltfreundlich \ nachhaltig,"Um den Menschen und der Natur gutes zu tun, sollte nie etwas Umweltschädlich sein, da nicht nur die Natur leidet, sondern mit der Zeit auch die Menschen, die in ihr Leben. Wie auch den Menschen, ist es moralisch verwerflich Tieren das Leben zu erschweren.","To do good to humans and nature, nothing should be environmentally harmful, as not only nature suffers, but over time so do the people who live in it. Like humans, it is morally reprehensible to make life difficult for animals.",Positive,0.4073
28,29,15cdf332b90e3b13126fb1e09f2a7e7c4a56465e8c0f57db4046dd499f4e7b7d,autonom \ ökologisch \ Energie generierend,"ökologisch: dass es nicht Unmengen an CO2 etc. erzeugt werden
Energie generierend: solange man es kontrollieren kann noch gut und solange es nicht zu ner großen Waffe umgebaut werden kann.
autonom: verbunden mit ""Energie generierend"" wenn ein menschlicher Eingriff um schlimmeres zu verhindern nicht mehr hilft ist es durchaus destruktives Material. ","ecological: that it does not produce huge amounts of CO2 etc.

Energy generating: as long as it can be controlled still good and as long as it can't be turned into a big weapon.

autonomous: connected with ""energy generating"" if human intervention to prevent worse does not help it is quite destructive material. ",Negative,-0.7659
29,30,af6898296ccb509d2fe0f8aa62e733a174647b25adbf80c88156063a1a9d605c,umweltfreundlich \ wartungsfrei \ langlebig,"In der heutigen Zeit müssen neue Materialien zwingend umweltfreundlich sein. Wenn ein Material langlebig ist, muss es nicht so schnell entsorgt werden und es fällt für die Herstellung entsprechend weniger Rohstoff an. Wenn ein Material wartungsfrei ist, ist dies ein entscheidender Vorteil, weil keine Kapazitäten und keine Kosten für die Instandhaltung aufgebracht werden müssen.","In today's time, new materials must necessarily be environmentally friendly. If a material is durable, it does not have to be disposed of so quickly, and accordingly, fewer raw materials are needed for its production. If a material is maintenance-free, this is a decisive advantage because no capacities and no costs for maintenance have to be incurred.",Positive,0.4019
30,31,72dc4685fa8a728bde538ea48d45137ee8733e413fec61c6344698ff41830e53,ökologisch \ umweltfreundlich \ nachhaltig,Ich finde die Begriffe beschreiben am Besteb die ethische und soziale Verantwortung gegenüber der Umwelt und nachfolgenden Generationen hat,I think the terms describe best the ethical and social responsibility towards the environment and future generations,Positive,0.8176
31,32,719f38b7c873e84037508888e298b6b920c26c906c29123ae468a656a74c6441,aktive Verhaltensänderung durch Umwelteinwirkung \ passive Verhaltensänderung durch Umwelteinwirkung \ selbstheilend,"die Verhaltensänderung war der Punkt wo ich überlegt habe, ob es okay ist, denn für manche ist ein Verhalten richtig, für andere wieder nicht, die Verhaltensänderung muss mit Richtlinien untermauert werden, denn es kann schnell auch in die Gesellschaftlich falsche Richtung laufen, wobei ich die aktive Verhaltensänderung eher die sehe, dass der Materialbenutzet selbst entscheidet und bei der passiven das er von sich aus geschieht und man das gar nicht beeinflussen kann, daher habe ich die auch unterschiedlich positiv und negativ bewertet, selbstheilend ist was schön und was gutes, was sich andere auch wünschen, aber wenn dann Menschen auf Technologien neidisch sind, haben wir eine ethische Fragestellung, die man dann aufbeantworten muss, weil dann fragt man sich: Ist das nicht auch bei mir möglich, ist das Material etwa besser als ich?","the change in behavior was the point where I considered whether it is okay because for some a behavior is right, for others again not, the change in behavior must be underpinned with guidelines, because it can quickly also run in the societally wrong direction, whereas I see the active change in behavior rather that the material user decides himself and with the passive that it happens by itself and one cannot influence it at all, therefore I have also rated them differently positive and negative, self-healing is something nice and something good, which others also wish for, but if then people are envious of technologies, we have an ethical question, which one then has to answer, because then one asks oneself: Is this not also possible with me, is the material perhaps better than me?",Positive,0.899
32,33,6fe4fab93b2e96cc1060ddf173f8e338a33e2c99471c3c424c848f6305d30184,haltbar \ selbstheilend \ Energie generierend,"haltbar und selbstheilend bedeutet weniger müll, kosteneffizienz und
energie generierend beudeutet man kann dem klimawandel entgegen wirken, indem man auf altmodische energiegewinnung verzichten könnte","durable and self-healing means less waste, cost efficiency and

energy generating means one can counteract climate change by avoiding traditional energy production",Positive,0.1354
33,34,e3c0d96a77ccca50261360187077b0a6b756a9a62e587f6805467c9bc69187a4,ökologisch \ intelligent \ lebensähnlich,"Von den Begriffen die gegeben sind denke ich das diese 3 am ehesten dafür geeignet sind.
Der Rest der Begriffe ist denke ich nicht wirklich ethisch relevant.","From the terms given I think these 3 are most suitable for it.

The rest of the terms I think are not really ethically relevant.",Neutral,0.0
34,35,7157ad33d28b7f3b5fa8503fbe19e2167e64e0286f5a027bfabc56dcca16c736,umweltfreundlich \ lebensähnlich \ zuverlässig,"Ethisch ist es am wichtigsten, dass wir unseren Planeten nicht weiter ausbeuten und umweltfreundlicher leben. Zum Anderen möchten wir mit dem neuen Materialsystem natürlich auch niemanden in Gefahr bringen und immer Sicherheit liefern.","Ethically it is most important that we do not further exploit our planet and live more environmentally friendly. On the other hand, we also want to ensure safety with the new material system and always deliver safety.",Positive,0.9483
35,36,9c1f5eaeab49b2418dd0baa52dce160856bf30d2ce365ab91ab55c44f6572228,ökologisch \ nachhaltig \ umweltschädlich,"Es ist wichtig ökologisch und nachhaltig zu sein, wenn man neue Materialsysteme erstellt und man sollte natürlich Umweltschäden so weit wie möglich gering halten. ",It is important to be ecological and sustainable when creating new material systems and of course to keep environmental damage as low as possible.,Negative,-0.3182
36,37,d5bf4dc2bec3ba7a6152fed8ec0d9afb449d9eda85a885cae709182b94f1768e,ökologisch \ elektronikfrei \ energieautonom,Ich denke es sollte nicht zu lasten der Umwelt gehen ,I think it should not come at the expense of the environment,Neutral,0.0
37,38,486ae4bf01291de032ca77152245ef2e3ad03e98dc68e2d866d529b196656a93,haltbar \ ökologisch \ energieeffizient,Dies sind die wohl relevantesten Eigenschaften um den oekologischen Schaden zu minimieren und das Klima zu schuetzen.,These are probably the most relevant characteristics to minimize ecological damage and protect the climate.,Negative,-0.1531
38,39,43af902b8d36ed66324a3cd8aa9e4452573a15405f8664a6546971b1ef725613,ökologisch \ energieeffizient \ umweltfreundlich,"Ökologisch, Umweltfreundlich und Energieefizient sind im Prinzip alles ""identische"" Begriffe im Sinne, dass sie mehr oder weniger Synonym zueinander stehen. Sie sind ethisch relevant, da sie in der aktuellen Zeit höchst wichtig sind einzuhalten, um unseren zukünftigen Nachkommen eine gute, wohltuende Welt hinterlassen können.","Ecological, Environmentally Friendly, and Energy Efficient are basically all ""identical"" terms in the sense that they are more or less synonyms for each other. They are ethically relevant because they are extremely important to uphold in today's time to leave a good, nurturing world for our future descendants.",Positive,0.9312
39,40,515bb8f3339f38ce6c7786281a4408ca78fccf994906ba754c6fb30e5c709194,ökologisch \ umweltfreundlich \ nachhaltig,Aufgrund des Klimawandels ist die ökologische Zukunft unseres Planeten ethisch sehr relevant für zukünftige Generationen,"Due to climate change, the ecological future of our planet is ethically very relevant for future generations",Neutral,0.0
40,41,f1ac4e67be87dd0c2578cd88e3ab6af4968b86bcca3fb1ca633c959467751c4c,haltbar \ energieeffizient \ wartungsfrei,Weniger Reparatur und Wartung ist automatisch Energieeffizient und ein Bestreben alles lebenden. Die Natur wird schon gewusst haben warum.,Less repair and maintenance is automatically energy efficient and an aspiration for all living beings. Nature will have known why.,Positive,0.5994
41,42,5f39cda79cefc85e2de2a3a5178a4c3a8a1af8550d6afc769fd480b79d5ed69d,umweltfreundlich \ selbstheilend \ nachhaltig,"Nachhaltigkeit und Umweltfreundlichkeit sind für die Zukunft der Menschheit kein Luxus-Themen mehr, deshalb gehören sie aus meiner Siche zu den ethisch-relevanten Themen/Begriffen","Sustainability and environmental friendliness are no longer luxury topics for the future of humanity, therefore they belong to the ethically relevant topics/terms from my point of view",Positive,0.2023
42,43,9bcb59f9adc735cbfb68a5278026b0bc28d4e4c1d5b831fe29b648d457224821,ökologisch \ energieeffizient \ robust,"Nachhaltigkeit für zukünftige Generationen, kein schneller Austausch von Materialien","Sustainability for future generations, no rapid replacement of materials",Negative,-0.296
43,44,7ab704e571906d9ed1f08160fc0aba9bd4afc68d7e36e2a5e26589fc6eefe692,bioinspiriert \ energieeffizient \ umweltfreundlich,Die Herstellung dieser Materialien versprechen dass die Natur in Vordergrund gestellt wird und somit das Ökosystem auch für den Menschen gewährleistet ist.,The production of these materials promises that nature is put in the foreground and thus the ecosystem is also ensured for humans.,Positive,0.3818
44,45,8c1125471c85e755b013881e06d8e31aa5b09d93fa47617a9a3985b99caa6f18,umweltfreundlich \ nachhaltig \ umweltschädlich,"Ich habe Begriffe gewählt, die die Auswirkungen des Materialsystems auf die Umwelt beschreiben, da diese die größten Auswirkungen auf die Gesellschaft insgesamt haben.","I have chosen terms that describe the effects of the material system on the environment, as these have the greatest impact on society as a whole.",Positive,0.6369
45,46,aa5e8e382126c1f6f36bdb593f4425fb74e368330d85f34e2a5a3f601bd78103,haltbar \ ökologisch \ energieeffizient,"Haltbar, da es ja ein Bau ist der den Menschen eine Zeit lang helfen soll und nicht nur einen Augenblick.","Durable, since it is a construction that should help people for a while and not just a moment.",Positive,0.4019
46,47,7e3173623dbe05e5980c0263d2ad9dbd1b11e3d5d698cfe29288c585ebb3ce5a,umweltfreundlich \ lebensähnlich \ nachhaltig,"Alle drei Begriffe sind sowohl auf den Menschen auch auf Tiere anwendbar, sind wechselseitig und bedingen sich ","All three terms are applicable to both humans and animals, are mutually inclusive and conditional",Neutral,0.0
47,48,ab68bca85f2ed7cb84d85081ea2c3036e5087fc13e5ec227ba8b549f1c7bb012,ökologisch \ umweltfreundlich \ nachhaltig,"Diese Begriffe finde ich ethisch relevantesten, da sie die Verantwortung unserer Generation zum nachhaltigen Handeln/Entwickeln nachhaltiger Technologien widerspiegeln und damit zum Erhalt der Lebensgrundlage zukünftiger Generationen wichtig sind",These terms I find ethically most relevant because they reflect the responsibility of our generation to act sustainably/develop sustainable technologies and thus to preserve the basis of life for future generations,Neutral,0.0
48,49,60c198ef0f8f152d43254ed0d571e8a1d7516841f4776bd76100157aa47acb62,energieeffizient \ umweltfreundlich \ nachhaltig,"damit die Natur noch lange lebt , und wir alle noch was von unserer Erde haben. Fortschritt ist sehr wichtig aber nachhaltigkeit auch.","so that nature lives long, and we all still have something from our earth. Progress is very important but so is sustainability.",Positive,0.3499
49,50,bef5752dd31c0a1845c19f0fc786f2137d2fd098a2d3eb405bbad65ca852d893,ökologisch \ energieeffizient \ nachhaltig,"Weil eine nachhaltige Welt, die einzige Welt ist, in der die Menschen auf langer Sicht noch leben können. Deshalb ist es wichtig für uns auf nachhaltigkeit zu achten","Because a sustainable world is the only world in which people can live in the long run. Therefore, it is important for us to pay attention to sustainability",Positive,0.1027
50,51,436677bc138eb5cf6205dd254a99fdf591a6631acb0984d4ad4e2f49f5cacad7,umweltfreundlich \ nachhaltig \ langlebig,"Es ist wichtig, dass wir mit dem Materialsystem weder uns noch der Umwelt dauerhaft schaden, da jeder von uns gemeinsam in einem Ökosystem leben muss","It is important that we neither harm ourselves nor the environment with the material system, as each of us must live together in an ecosystem",Positive,0.5647
51,52,05353b23737e53b4bd79687da5a193533005543ba24da3fd7c464d4810c57593,umweltfreundlich \ nachhaltig \ langlebig,"Konsumgesellschaft ist schädlich für unsere Erde. Wenn Leute nicht ständig neue Dinge kaufen müssten, i.e. wenn alte Dinge länger halten würden, wäre dies ein wichtiger Schritt in die richtige Richtung. Produkte aus dem 20. Jahrhundert waren qualitativ langlebiger als heutzutage, was anzeigt, dass etwas in den Prioritäten neuerer Technologien und Produktionen nicht stimmt.","Consumer society is harmful to our earth. If people did not have to constantly buy new things, i.e., if old things would last longer, this would be an important step in the right direction. Products from the 20th century were more durable than today, indicating that something in the priorities of newer technologies and productions is not right.",Positive,0.2023
52,53,6597148ccc60cd7fd7ea51e65f2584c0cd834122f4e36dd32297dde03d5ef430,umweltfreundlich \ nachhaltig \ umweltschädlich,"Eins der größten Probleme auf der Welt aktuell ist definitiv der Umgang mit der Umwelt bzw. der Klimawandel, weswegen ich die 3 Begriffe gewählt habe, die am meisten mit diesem Thema zu tun haben.","One of the biggest problems in the world today is definitely the handling of the environment and climate change, which is why I chose the 3 terms that have the most to do with this topic.",Neutral,0.0
53,54,7e1bf310c4d449501e822f804eb450201508bbf8583642e8960204667af475d5,haltbar \ ökologisch \ umweltfreundlich,"Es ist wichtig, die Natur nicht weiter zu belasten und sie lediglich ihrer Ressourcen zu berauben",It is important not to further burden nature and merely rob it of its resources,Negative,-0.1012
54,55,943729b1d3028a5ac14f1bfa14121b083aa13faaa04022c3542888068561b7cd,bioinspiriert \ ökologisch \ umweltfreundlich,"Es ist ziemlich wichtig, Umwelt zu schützen.",It is quite important to protect the environment.,Positive,0.6068
55,56,4edd4df5700500328d6b9aa1ce7426426a6f2cb18b5565a106c96e5d089e0301,ökologisch \ umweltfreundlich \ nachhaltig,"Aus meiner Sicht sind diese Begriffe relevant, weil sie beinhalten, dass man die Umwelt und die Natur schützen muss, um einen gesunden Planeten für die nachfolgenden Generationen zu erhalten. Das ist aus meiner Sicht unsere moralische Pflicht.","From my point of view, these terms are relevant because they involve protecting the environment and nature in order to maintain a healthy planet for future generations. That is, from my point of view, our moral duty.",Positive,0.4019
56,57,f38e221d6be399db9cdcf5bd44be96ea721e6e82dca30a9ac48f34275f00174d,ökologisch \ umweltfreundlich \ langlebig,weil sie alle dem umweltschutz dienen. und somit am nachhaltigsten für mensch und planet ist.,because they all serve environmental protection. and thus are most sustainable for people and the planet.,Neutral,0.0
57,58,87f08287222f5b958c498b5948ed49dfa49e2dc12bfd214c3892b8868282d383,intelligent \ lebensähnlich \ nachhaltig,"Ich denke, dass Technologien, die als ""menschenähnlich"", also zum Beispiel als intelligent oder lebensähnlich, wahrgenommen werden, viele Menschen verunsichern, weil die Grenzen zwischen ""uns"" und dem, was wir materiell und intellektuell schaffen, verwischen. Das wirft Fragen darüber auf, wie solche Erfindungen ethisch zu betrachten sind - eher wie Dinge oder eher wie ""wir"". Nachhaltigkeit ist angesichts des Klimawandels auch von ethischer Bedeutung, da es darum geht, wie der Klimawandel noch verlangsamt oder zumindest seine Folgen abgeschwächt und ""fair"" verteilt werden können, sofern möglich, um unnötiges Leiden zu vermeiden.","I think that technologies perceived as ""human-like"", such as intelligent or life-like, unsettle many people because they blur the boundaries between ""us"" and what we materially and intellectually create. This raises questions about how such inventions are to be viewed ethically - more like things or more like ""us"". Sustainability is also ethically significant in the face of climate change, as it involves how climate change can still be slowed or at least its consequences mitigated and ""fairly"" distributed, if possible, to avoid unnecessary suffering.",Positive,0.8218
58,59,69a4ee929b3562a73717f75995e999b6140e102e0c3bea948cd9c2a9b7b55c3c,haltbar \ umweltfreundlich \ multifunktional,"eine Technologie ist sinnvoll und fair, wenn sie nicht nur ein Nieschenprodukt ist sondern die Entwicklung davon sich für viele Szenarien und Probleme anbietet. Außerdem sollte sie haltbar sein, damit sich das Kosten-Nutzen-Verhältnis entsprechend des Nutzens ausrichtet. Umwelt und Klimawandel werden immer größere Herausforderungen für die Zukunft, weswegen bei jeglichen Handlungen, Verhaltensweisen, Wirtschaft usw. IMMER ein umweltfreundliches Denken einbezogen werden sollte.","A technology is sensible and fair if it is not just a niche product but the development of it offers itself for many scenarios and problems. Moreover, it should be durable so that the cost-benefit ratio aligns with the benefits. Environment and climate change are becoming increasingly challenging for the future, which is why an environmentally friendly mindset should ALWAYS be involved in any actions, behaviors, economies, etc.",Positive,0.7717
59,60,4dafa1ad9e170461ddc1ad2629449230e57f10372db2dfbd5bb8128001682412,umweltfreundlich \ zuverlässig \ nachhaltig,"Die Auswahl der ethisch relevanten Begriffe bezieht sich auf Eigenschaften, die nicht nur einem Invidiuum sondern der ganzen Gesellschaft verhelfen sollen.",The selection of ethically relevant terms refers to characteristics that are intended to help not just an individual but the entire society.,Positive,0.2144
60,61,f80ba6cb8e63c40ef00a17b5d92af22d9e586bbae394978e40b84c9c9ec06c5b,energieeffizient \ umweltfreundlich \ nachhaltig,"Materialsysteme können nur ethisch sein, wenn z.B. die Umwelt nicht darunter leiden muss. Deshalb habe ich diese drei Begriffe gewählt.","Material systems can only be ethical if, for example, the environment does not suffer as a result. That's why I chose these three terms.",Positive,0.7311
